ano,texto_completo
Mas podemos passar de uma ideia a outra ao acaso. Quando isso ocorre, a
imaginação usa as regras do entendimento para produzir ficções, delírios,
forjando princípios de natureza humana. A fantasia cria relações fictícias nos
fazendo crer em loucuras e mesmo duplicando os casos reais por uma repetição
verbal - e cremos no que falamos! Se o ceticismo vinha do erro dos sentidos,
de sermos enganados pela impressão das coisas (lembremo-nos do exemplo de
Descartes do tamanho do sol que nos aparece pela visão e é diferente do
tamanho real), para Hume não há erro, não há crenças falsas, mas crenças
ilegítimas. Pelas relações de causa e efeito fazemos cálculos de
probabilidade, mas, às vezes, a ficção não pode ser corrigida e mesmo crenças
ilegítimas vão fazendo parte de nossa natureza humana. Como acontece com as
crenças ilegítimas no mundo, no eu e em Deus que formam a base de nossas
crenças legítimas.

A investigação sobre o conhecimento começa e termina no ceticismo, mistura
ficção e natureza humana. Mas a natureza humana não se guia somente pelos
princípios de associação de onde decorrem as relações, mas de princípios de
paixão de onde decorrem os pendores. Na base da associação: relações +
pendores. Se os princípios da associação nos fazem ultrapassar o dado, no
fundo das paixões não há egoísmo, mas parcialidade, nos apaixonamos pelos que
estão próximos de nós. De forma diferente do contrato social que limita
egoísmos, a proposta é superar a parcialidade, de um estado de limitações
legais deveríamos criar artifícios, invenções institucionais para superar
nossa parcialidade. Se Hume embricou o conhecimento entre ficção e natureza
humana, agora a natureza humana deve ser inventiva para ultrapassar as
parcialidades.

As paixões são a extensão artificial para superar a parcialidade humana, elas
ressoam na imaginação fazendo ultrapassar os limites naturais. Os princípios
de associação estão estabelecidos na imaginação como regras de cálculo, como
objeto do conhecimento. As paixões, os sentimentos estéticos, morais,
políticos se sobrepõem a esses objetos e formam as regras de gosto, do
direito, etc. Na posse, o que vale é a relação que estabelecemos com o objeto,
que seja suficiente para apresentar garantias: não basta lançar um dardo sobre
a porta para garantir sua posse, é preciso tocá-la.

________

*Resenha do texto: Iluminismo – Hume. De Deleuze, na coleção de História de Châtelet.

 Husserl acentuava o processo intencional através do qual o sujeito se voltaria
para si mesmo, fazendo aparecer a estrutura intencional da sua consciência,
com o foco nesse processo interno. Através de um esforço reflexivo,
objetivando as estruturas internas da consciência, seria deixado de lado o que
normalmente aparece, visando fazer aparecer o que não aparece: as vivências.
Seriam deixados de lado os objetos intencionais que estão no mundo porque eles
não seriam interiores à consciência, eles apareceriam: seriam os polos aos
quais a consciência se dirigiria. E eles nem mesmo seriam necessários para as
vivências aparecerem, poderiam ser visados objetos inexistentes ou objetos
irreais, resultados de conjecturas. A fenomenologia deveria fazer aparecer as
vivências, torná-las objeto, através da descrição eidética da imanência
psíquica, da região ontológica interior da consciência, de sua essência
noética.

As vivências seriam constituídas de sensações e apreensões objetivantes. As
sensações seriam o material inerte da consciência, elas seriam vividas, não
intencionais e não apareceriam. As apreensões objetivantes seriam os atos
intencionais que fariam aparecer os objetos. Então, o vivenciar seria um
mecanismo que não aparece, a partir de sensações que não percebemos, mas que
são sensações de algo e que são animadas pelas apreensões que direcionam a
consciência rumo aos objetos, em um esquema de conteúdo-apreensão. Ou seja, o
material sensível inerte é animado por um ato mental que então constitui a
referência intencional ao objeto visado.

Husserl atribuía ao sujeito o poder de constituir o sentido objetivo do
correlato visado através desse processo reflexivo e interior. Somente por meio
do interior os objetos do mundo receberiam sentido ativamente, mas, embora
esse real não estivesse reduzido ao interior do sujeito, ele só se
manifestaria pela atividade (imperceptível) do sujeito. As emoções também
seriam manifestadas por meio da intencionalidade, como atos complexos: uma
tomada de posição afetiva seria construída sobre uma apresentação prévia do
objeto, supondo um ato objetivante prévio.

_________________________

* Notas de aula de História da Filosofia Contemporânea, professor Marcus Sacrini. 

 O movimento fenomenológico surge a partir de um chamado que Husserl fez para
um trabalho coletivo dos filósofos, recuperando a ideia original de filosofia
como ciência englobante e rigorosa. Ela deveria se basear no _critério geral
de cientificidade_ , qual seja: o reconhecimento **intersubjetivo**  mínimo da
**validade**  de certos conteúdos teóricos e procedimentos metodológicos.
Partindo de uma base consensual com métodos lógicos que pudessem ser
reconstruídos, sua validade se daria por um acordo entre os pesquisadores e
teria como consequência, a partir daquela base consensual, uma progressão
colaborativa.

Quando a Filosofia segue o gênio, ela cria sistemas que são produzidos por uma
só pessoa, sistemas quase religiosos que tendem a se isolar. De outra forma, o
movimento fenomenológico deveria ser um chamado para as novas gerações,
movimento colaborativo que desse ênfase em contribuições parciais para a
construção interminável de um saber válido, em um trabalho cumulativo. Essa
deveria ser a direção da filosofia, não como princípio, mas como um fim, um
_telos_. E a fenomenologia cumpre esse critério porque tem como pressuposto a
inesgotabilidade da experiência.

Sua metodologia parte da redução eidética (_eidos_ – essência) para a redução
fenomenológica transcendental. Concepção à época extremamente nova e radical,
a fenomenologia seria um método para tratar um núcleo de problemas
transcendentais. Em sentido kantiano, a fenomenologia transcendental não se
preocupa com os atributos sensíveis dos objetos, não descreve o mundo, mas o
modo de acesso a eles. Voltando-se para as capacidades subjetivas, em
detrimento do que a experiência nos dá, é a condição de possibilidade (a
crítica) que é objeto de estudo: a constituição dos modos de acesso de
apreender fenômenos, suspendendo o mundo, o dado real, a experiência. Assim, o
**núcleo** dos problemas são as condições subjetivas de possibilidade do
conhecimento e da experiência em geral e o **método** , a redução
fenomenológica, é a suspensão da vigência do ser das coisas para tornar
visível como constituímos o seu sentido a partir do aparecer fenomenal. A
intuição permitiria mostrar como a experiência é possível através das
condições que devem ser preenchidas para se atribuir ser às coisas.

A fenomenologia permitiria reduzir o ser ao fenômeno, suspendendo a
objetividade do mundo. Seria possível explicitar o pressuposto do conhecimento
objetivo através dos modos estruturais subjetivos de como é possível este
conhecimento. Eis a radicalidade: suspender o ser pelo aparecer. Mas a redução
não foi muito bem compreendida em sua época: Husserl propõe um programa de
pesquisa fenomenológico, mas há resistência em relação a seus princípios
básicos. Uma delas: Sartre.

  

\------------------------  

* notas de aula de História da Filosofia Contemporânea, prof. Marcus Sacrini.

     **O ser que escreve essas linhas** está estudando a fenomenologia de Husserl e a leitura que Sartre faz de tal filosofia. Embora **o ser que escreve essas linhas** às vezes pense que não tem capital cultural suficiente para entender de Filosofia (nem no geral, nem especificamente), **ele** sabe que tem o direito de escrever o que bem **lhe** der na telha, inclusive sobre Filosofia.

    **Ele,**  mal esclarecendo isso, tem a impressão de que, se a consciência é vazia conforme Sartre procura demonstrar no seu ""A transcendência do ego"", o Homem é mais Bicho do que Homem, no que **ele** esclarece: o Homem é mais Animal do que Racional. Se o fluxo da consciência expulsa o ego para o mundo, fazendo dele ser transcendente, ele coloca a consciência irrefletida como principal polo de imanência. Nesse sentido, **ele** entende que essa tese dele faz com que cada ato factual coloque a consciência em uma relação imediata com o mundo, guiada pelo mundo naquele momento. Objetivamente, **o ser que escreve essas linhas  **entende que o ser-no-mundo dele, aquele da situação, é mesmo, de fato, existencial. Mas **ele** admite que, nesse ponto, está fugindo do contexto e da evolução do pensamento sartreano que ainda não abordava o existencialismo. De qualquer forma, **ele** reforça que o fato, (a essência...),o mundo, etc., se revela ao ser de forma intensa, instantânea e inexorável, contra a consciência, atingindo-a. E atinge muito mais um animal que um racional.

    E **ele** acrescenta que, com a visada atual de uma consciência reflexiva que tem como objeto a consciência refletida, que foi irrefletida, mas que agora tem a ela um EU agregado, muito mais do que antes, o Homem é mais Animal do que Racional, porque primeiro um animal visa o mundo (na consciência irrefletida) e depois visa a si mesmo (na consciência reflexiva), tornando-se racional. Ou seja, **ele** acredita que o Homem é muito mais Animal que Racional, porque se não há EU na consciência irrefletida (ou seja, há EU no mundo) e o EU só se verifica na consciência reflexiva, esse EU é passado. Esse EU é um objeto anterior, com muito menos força que aquele EU da consciência irrefletida, que é transcendente. Esse EU nem mesmo é transcendente, ele é inventado. Quando isso acontece, **ele** pensa que o EU atual depende do EU que passou e que é inventado. Por isso, o EU atual se guia pelas experiências do EU passado e, agora, conhecido. Essa reflexão da consciência coloca a consciência irrefletida em defasagem com o EU reflexivo, ela fica à frente dele e muito determinada pelas experiências dele. Portanto, ela está sempre um passo a frente dele. O ego transcendental está sempre a frente do ego inventado. O ego transcendental é a primeira pessoa do sujeito, mas totalmente atrelada ao mundo, como **ele** procurou mostrar no segundo parágrafo dessa reflexão. O EU que surge como agente já passou e o EU atual se fia nas experiências do ego inventado, por isso, muito mais determinado, mais dependente das experiências dele. Por isso, **ele** acredita (não **eu** que sou irrefletido, mas **ele** que é refletido na consciência reflexiva) que, nesse contexto de reflexão, o Homem é muito mais Animal que Racional.

    Isso posto, o**  ser que escreve essas linhas** entende que deve estudar mais a fenomenologia de Husserl e a leitura que Sartre faz dela, para tentar elucidar esse mistério. Por exemplo, em um outro viés, atribuindo muita liberdade quando a consciência irrefletida age na situação, sem reflexão.

   

Uma investigação é um método filosófico e científico primordial para abordagem
de um determinado assunto. Mas uma investigação sempre é feita por um humano.
No capítulo 1 da Ética, Espinosa trata de Deus como causa necessária de todas
as coisas. Na verdade, para Espinosa só há Deus, tudo emana dele, tudo está
nele, necessariamente. Deus não pensa, Deus é, infinitamente. Não há
contingência, só há o que não conhecemos (certas coisas são impossíveis para
nós). Mas, como conceituamos as coisas oriundas de Deus?

O homem vê a natureza, o homem sente, vive. Para o homem há uma concepção e
uma noção fundamental: a de utilidade. Tudo tem um fim, uma finalidade. E uma
finalidade humana. Então, temos uma certa maneira de ver as coisas,
proveniente de nossa imaginação. A natureza está aí para nos propiciar algo ou
para nos trazer um problema, uma dificuldade. Classificamos as coisas entre
boas ou ruins, belas ou feias, fáceis ou difíceis – essa classificação é a
nossa noção de utilidade humana. O valor das coisas decorre do que colocamos
nas coisas a partir de nossa noção de utilidade, pela nossa imaginação.
Colocamos um próprio valor nas coisas e isso tudo é criação nossa.

Essa forma de “ver” o mundo se fundamenta na utilidade. Mas a utilidade é uma
função que aparece em cada coisa, em cada fenômeno, seja natural ou
artificial. Somos orientados por uma finalidade, vivemos e fazemos isso ou
aquilo, adquirimos tal coisa, produzimos, destruímos, tudo baseado na noção de
utilidade. Essa noção de utilidade caminha no sentido inverso, da finalidade
para a coisa, do efeito para a causa. A água existe para tal coisa, a água não
é simplesmente algo, independente de qualquer utilidade. O fato de nos
orientarmos por essa noção de finalidade nos impõe tentativas de explicação
que nunca serão convincentes. Mas somos assim e, sabendo disso, deveríamos nos
precaver dessa caraterística nossa e obstruir qualquer tentativa de
explicação. As coisas, então, seriam de Deus e não se modelariam há uma
caraterística humana de finalidade. As coisas de Deus estão aí antes de nós,
mas como sempre achamos que tudo gira em torno do nosso umbigo. A noção de
utilidade inverte a ordem temporal e causal da realidade, do mundo, de nós.
Deveríamos, então, ir em busca de outro princípio, outro fundamento, que não
esse da utilidade, da finalidade, e tentar fundamentar nossa existência de
outro ponto de vista, trazendo outras consequências.

_____

  

* Lemos muito rapidamente o primeiro capítulo da Ética de Espinosa (3a edição, tradução e notas de Tomaz Tadeu. Belo Horizonte: Autêntica Editora, 2013): suas definições, axiomas, proposições, demonstrações, corolários, escólios e o apêndice. Colocaremos bem brevemente nossa primeira impressão, considerando: 1) leituras rápidas e superficiais podem gerar análises superficiais e distorcidas; 2) superficial não é supérfluo; 3) nossa capacidade de concentração atual decaiu bastante - há muito barulho no mundo, há muitos objetos atraentes; 4) uma primeira impressão é sempre um recado puro, sem ruídos, não importando muito o resultado final; 5) sempre poderão ser realizadas novas leituras, uma resenha aqui, um comentador acolá e se chega a uma aproximação com a opinião geral, relativa à primeira impressão.

 Vivemos em um sistema ocidental capitalista normativo. É sistema porque e
abrangente, complexo e abstrato. É ocidental porque revela uma caracteristica
cultural, religiosa e comportamental arrogante, prepotente e intolerante. É
capitalista porque baseado no capital que pode ser mais popularmente associado
ao dinheiro. É normativo porque mostra certos valores que devem ser seguidos
e, fora dos quais, desvio-se da conduta estabelecida.

Nascemos, vivemos e nos relacionamos de acordo com esse pressuposto
imperativo. Às vezes, percebe-se um fechamento total no sentido de
possibilidade de mundo, seja no que tange a diversidade e diferença. Outras
vezes, abre-se e bem se vive mas, guiando-se por ele. Mais vezes ou menos
vezes, tambem e possivel perceber que esse sistema e dado e e artificial,
muito embora seja tomado como segunda natureza. Independente desses
comportamentos, precisamos achar uma saida.

A saida mais correta e que promete melhores resultados e a ruptura. Mas somos
resultado do sistema, fazemos parte dele; e e muito dificil amputar um orgao
voluntariamente, mesmo que cancerigeno. Ja que falta essa coragem e
discernimento, resta-nos criticar positivamente quais possiveis soluçoes para
que se caminhe no sentido de uma reforma. É triste, mas e uma constataçao do
que talvez seja possivel no momento.

 O que queremos realmente nesse mundo? Não há vivente que não tenha em si tal
pergunta espalhada em sua vida, em sua constituição. Esta pergunta está
inscrita em nosso crescimento (biológico) e em nossa sobrevivência. Mantemos a
vida ou melhoramos a vida? É uma pergunta que pode nos ajudar a clarificar os
propósitos. Se buscarmos melhorar a vida, isso pode significar que nos abrimos
a possibilidades (e aqui podemos ver um sentido positivo em uma retórica de
competição). Se mantivermos a vida, vivemos e isso é o suficiente. Viver não é
um fardo, há uma potência dentro de nós. Viver é potencializar.

Mas porque a distinção manter ou melhorar? Falamos de abertura e colocamos
nessa conta um mundo que chama para a ação. Mas queremos pensar de forma
diferente. Não podemos mais pensar em uma interlocução com o mundo, porque o
mundo é conceitual, vago e amorfo. E também não podemos mais pensar a nossa
vida como a vida de um ser autônomo, orgânico e uno. Não somos um, somos
choques, contatos, cruzamentos. Não sentimos de uma única forma. Não sentimos
via instruções que vêm e voltam de uma cabine de comando. Manter é somente
atualizar estados que perduram. Há uma economia aí. Manter é cuidar para que
certos limites não sejam ultrapassados. Melhorar é estar no limite e tencioná-
lo.

Muitas vezes nos enganamos, mas Sarah não se enganou. Sarah sabia. Sarah
queria. Mas Sarah era relegada, Sarah estava se relegando. Mas Sarah sabia de
algo que ninguém sabia. Todos nós sabemos de algo que ninguém sabe. Pobre
Sarah: manter ou melhorar? Manter é bom, a gente segue com nossos planos e
projetos. Sarah sabia, mas se mantinha. Sarah aceitava. Mas Sarah resolveu
melhorar e se uniu. Sarah se uniu ao que não era seu. Sarah só, só Sarah não
poderia, mas Sarah e seu devir e um devir que não era seu, poderia. Sarah e o
devir besouro mostraram o que realmente queremos nesse mundo. Sarah
multiplicou-se no limite, lá e cá, Sarah foi e ficou, Sarah é. É melhor com
seu devir besouro.

  

* parodiando <http://tvescola.mec.gov.br/tve/video/especiais-diversos-besourinha> com base na aula de Safatle sobre Mil Platôs, de agorinha pouco.

 O assassinato dos jornalistas franceses toma conta da midia e do debate,
tamanho foi o impacto causado (conforme Leonardo Boff, a estrategia do
terrorismo e essa de dominar mentes). O exito dos matadores pode ser visto em
videos e fotos: sinal de um tempo em que o filme e ao vivo, mas quem morre nao
e o personagem. Ou e? Teriam os humoristas se tornado refens do seu trabalho?
De fato, as revistas ficaram sujas de sangue...

Muitas das analises que circulam pela midia nao dao conta de uma tomada de
posiçao: prega-se a liberdade de expressao, mas com cautela. Contudo, para os
cartunistas, esse paradoxo nao existia: era liberdade radical. Era guerra. E o
inimigo a ser morto e um morto muito vivo: o profeta Maome (nesse caso, pois
nada se poupava no humor praticado por eles). Se as imagens e os simbolos sao
poderosos na religiao, nao menos eram os desenhos destemidos que visavam
desconstruir aquele imaginario.

La, na França, Sartre formulou uma liberdade responsavel que termina quando
começa a do outro. Mas Charlie prefere a liberdade extrema que foi abalada por
extremistas. Nem muito ao ceu, nem muito a terra, para nos, simples mortais.
Para Charlie, sua luta nao foi em vao: descobre o veu de uma falsa
globalizaçao, de um ocidente que nao reina e teme.

De nossa parte, entendemos que a liberdade de informaçao e fundamental.
Informaçao para escolher, decidir de que lado estamos. Sem informaçao ficamos
a merce de meias coisas, meias verdades. A liberdade de opiniao e primordial
para que cada um coloque suas ideias e fale abertamente sobre o que bem
entender. Mas a contradiçao do humor incomoda... É para rir ou para chorar?
Ate que ponto deve chegar um tipo de humor que agride e desafia crenças e
verdades individuais?  

 Parece que há uma oposição entre essas duas operações do pensamento. O que
vamos fazer aqui é desenvolver uma reflexão típica de um filósofo de rua: sem
nenhuma referência teórica assertiva ou rigorosa (embora à luz de Husserl).
Apenas divagaremos um pouco sobre essas duas operações e em um futuro incerto
retomamos com mais propriedade e embasamento. Concordemos que intuição e
dedução são operações do pensamento e se referem a objetos. Porém, a dedução é
lógica e a intuição é empírica (ou psicológica?). Nesse sentido, a dedução é
um procedimento que tem um embasamento formal enquanto que a intuição é um
procedimento que tem um embasamento material, concreto.

As regras da dedução são rígidas e podem ser aprendidas, de modo que sejam
reconstruídas. A intuição não se atém a regras de sintaxe ou morfológicas, mas
visa uma apreensão dos objetos. A dedução é uma forma a priori do pensamento
puro, é como uma luva pronta para ser usada, basta lá encaixar os dedos. Não
tem “pode ser assim ou assado”, existe um comportamento intelectual que adere
àquelas regras que não podem ser violadas. A intuição é um contato direto com
o objeto, que pode ser mediado ou imediato. As regras da intuição são regras
de acesso ao mundo e aos objetos. São regras que podem ser direcionadas a
objetos individuais, como esta caneta, objetos gerais, como uma caneta
genérica ou objetos inexistentes, como um disco voador, por exemplo. Qual
seja, intuímos essências, existências, fatos ou conjecturas. A dedução orienta
as formulações que faremos com relação aos objetos, permitem proposições que
podem ser compartilhadas intersubjetivamente. Mas a dedução é uma formalidade
do juízo do eu, assim como a intuição é uma apreensão constitutiva do eu, do
que se conclui que, de uma maneira ou de outra precisamos de ambas, seja para
fazer ciência, arte ou filosofia, e tudo o mais. Muito embora haja um sentido
intrínseco que as diferencia e que pode ser levado em consideração quando se
quiser decidir sobre quais delas priorizar em nossas análises, sejam elas de
fato ou de direito.

Ambas as operações mentais são conhecimentos, produzem conhecimentos, embora
distintos: a intuição um conhecimento mais próximo do animal e a dedução um
conhecimento humano. E parece que eles se complementam: forma e conteúdo. Uma
lógica sem objetos versa sobre o vazio; intuição em si não é proposicional. A
intuição em si está atrelada a uma sobrevivência animal, precisamos intuir,
conhecer o alimento que vamos comer, intuir os animais que podem nos atacar e
os perigos do mundo. A dedução é sobrevivência humana: precisamos formular os
conhecimentos adquiridos, exteriorizar a outros, mais prioritariamente aos
nossos. Assim, em nossa condição humana não vivemos, nem sobrevivemos sem tais
operações mentais.

De todo modo há que se considerar sobre quais objetos intuir e sobre quais
deduzir, usar operações certas para objetos e fins adequados, fazer bom uso
das operações, enfim situá-las. Com isso, evita-se o radicalismo e se coloca
cada coisa em seu lugar.

Objetos, ah, os objetos. Para a dedução eles vêm prontos, idealizados, não há
preocupação com o detalhe, com suas características. Isso fica por conta da
intuição. Para ela um objeto aparece: de um lado, do outro lado, em cima,
embaixo. A intuição visa cada parte do objeto em sua opacidade e vai
constituindo-o. Assim age com um e assim age com outro, similar ao anterior.
Assim vai aparecendo o objeto geral, ideal que, abstraído, é apossado pela
lógica. Para a lógica importa o geral, não esse ou aquele. A intuição
individualiza, mas também especifica, no sentido de espécie. Ela capta a
essência dos semelhantes, generaliza e entrega de bandeja para o consumo
lógico que está desarmado desse tipo de preocupação. A lógica não se preocupa
com a existência, com o fato, mas com a não contradição com as regras de
formação, com a proposição. Objetos de uma e de outra, objetos do mundo e do
pensamento: cada um em seu lugar.

 Gostaríamos de entender se há um princípio básico norteando nossas ações e se
ele poderia ser o mesmo para qualquer pessoa. Existem ações instintivas,
fisiológicas, mas existem outras ações que se originam a partir de um valor,
de uma reflexão intelectual, um cálculo. Também existe cálculo na ação
instintiva, mas ele se situa na esfera da conservação de si, é um cálculo
orientado para a necessidade de sobrevivência e esse valor parte de um
princípio vital.

E qual seria o valor, qual seria o princípio considerando as ações que se
seguem a partir de pensamentos? Por exemplo, o ato de ir trabalhar pode ser
considerado um ato não instintivo. Quando acordo cedo e estou com sono, meu
organismo tende a querer dormir, mas existe uma ação de levantar para ir
trabalhar. Trabalho por que faço parte de uma sociedade que depende de várias
funções, trabalho por que preciso ganhar dinheiro ou trabalho por que gosto?
(Nos ocorre agora apenas esses três princípios para a ""ação exemplo""
trabalhar, mas podemos fazer outros exercícios, com outros princípios ou
outras ações).

Considerando que trabalho porque faço parte de uma sociedade, trabalho para
essa sociedade, mas também para que a sociedade trabalhe para mim. Nesse caso,
existem várias funções e, quando possível, tentamos escolher qual função
queremos realizar. Comparamos as funções utilizando vários critérios, mas
escolhemos dentre as que cremos melhores para nós. Escolhendo a que
consideramos a melhor, deixamos as que restam para os outros.

Considerando que trabalho porque preciso ganhar dinheiro, a resposta já está
na pergunta: se preciso ganhar dinheiro me movo pela competição - quanto mais
eu ganho, menos alguém ganha, não há fórmula diferente. Nessa abordagem somos
forçados (por pura falta de opção), nos regulamos por uma lei da selva que me
beneficie de alguma forma.

Se eu trabalho porque gosto é porque eu quero me sentir bem, independentemente
do que se aplique aos outros. Eu posso gostar de trabalhar, embora todos
queiram gostar de trabalhar, mas o que importa é que me seja de bom grado.

Qual valor tange os três princípios que orientam a ação de trabalhar?
Obviamente, todas as ações são realizadas por um _eu_. Há sempre um _eu_ como
princípio de nossas ações, _mas_ também há sempre um _eu_ como fim, como
objetivo. O _eu_ é causa e consequência. E o valor: por trás de todas as
nossas ações há um _princípio básico de estudo das melhores opções_ para o
_eu_ , independente de consequências morais, políticas, sociais, etc., mesmo
que dentro da lei. É somente esse princípio que rege as nossas ações, ele é o
único valor, independente de qualquer aparência. Continuaremos com o tema...

 _Teoria do Conhecimento_. A pergunta socrática ""O que é?"" produz um
preenchimento metafísico, a Teoria das Formas. O que é a coragem? Não
conseguimos definir ""a coragem"", apenas coisas corajosas. O que é o belo? Vejo
um quadro belo, um dia belo, mas o que é o belo em si? A coragem em si, o belo
em si, é a forma, a ideia das quais as coisas sensíveis e individuais (homem
corajoso, pássaro belo) participam. Ou seja, cada qualidade que temos ou vemos
se origina a partir de uma forma (abstrata). Assim, Platão define o
conhecimento como aquele de formas abstratas e válidas universalmente. Não
importa o mundo sensível (esse que vemos), o que tem mais realidade são as
formas: Beleza, Coragem, Alegria, enfim: Bem. E como acessar esse mundo das
formas? Pela razão, não pelas emoções, sentimentos, etc.

  

_Escatologia_. O Bem é o sol, a forma que tudo ilumina. O que buscamos, qual
ideal teológico? Para Platão, a alma existe antes do corpo e só ela tem acesso
às formas. Uma vez a alma ""encarnada"", ela está poluída por uma capa chamada
corpo... Nossa busca na vida é para voltar à pureza da alma, nos livrando de
regalias e prazeres carnais. Devemos buscar uma vida frugal e quanto mais
conscienciosa, mais perto de Deus estaremos.

  

_Antropologia_. Nossa alma é composta por três partes, uma parte apetitiva
(ligada aos desejos), uma parte volitiva (ligada aos afetos e paixões) e uma
parte racional, que deveria ser a responsável por nos conduzir e nos orientar.
Cada parte da alma tripartite está associada a uma virtude, respectivamente,
agradável, justa e sapiente, do que devemos nos guiar pela justiça e
conhecimento, expressando as virtudes da alma, em detrimento do vícios. Pelo
mito da constituição das raças, cada homem apresenta uma parte da alma mais
intensa e a partir dessa característica, ele deveria ocupar determinado lugar
na vida social. Homens com alma de bronze (parte apetitiva acentuada) seriam
os agricultores porque apresentariam a temperança; homens com alma de prata
(volitiva) com senso de justiça e coragem seriam os guerreiros, guardiões; os
com alma de ouro (racional) seriam os governantes, os filósofos que teriam
acesso ao conhecimento verdadeiro. O ideal do bem viver é viver em acordo com
a sua natureza e ocupar o lugar que lhe é devido na sociedade.

  

_Política_. Qual seria o tipo de governo proposto por Platão? Uma aristocracia
dos intelectuais - os filósofos que conhecem a verdade e podem conduzir as
demais classes sociais. O político é o homem racional e justo, justiça sensata
baseada no conhecimento em oposição à justiça pela força. Mas, vale a verdade
do filósofo que conhece, os demais não teriam capacidade argumentativa para o
debate: conhecimento para o filósofo, opinião para os demais.

_  
_

_Educação_. É com base nessa política, é para formar para esse modelo de
sociedade que deve ser pensada a educação. Pelas disposições de cada criança
se saberia sua natureza e educação adequada. Os com alma de ouro teriam mais
investimento educacional. Se há uma natureza humana ela deve ser mantida e
aperfeiçoada pela educação. É uma educação de moldes, parte-se de modelos a
serem seguidos, forma-se para a criação de quadros. Modela-se corpo e alma.
Purifica-se a alma para atingir o conhecimento, para acessar o mundo das
formas, das ideias, o mundo real platônico.

   Viajemos com Rancière para o entorno do século XIX recuperando um esboço de
proposta pedagógica de Jacotot, homem que, a partir de suas experiências, nos
convida a refletir sobre a educação atual e as possibilidades de emancipação.
Porque, conforme Rancière, Jacotot foi uma voz dissonante em uma época
histórica pós-revolução francesa onde as conquistas herdadas se consolidavam
em um programa que visava esclarecer a população tendo como base o progresso.
E o progresso se firmava em uma proposta de reduzir as desigualdades, diminuir
a diferença entre o esclarecido e o ignorante. Época de instrução, de
transmissão de conhecimentos, aonde a instituição pedagógica era lugar para
exercício da autoridade dos professores e de desenvolvimento dos jovens rumo
ao limites de suas capacidades intelectuais. Mas, eis a voz que alertava: o
que se buscava era reduzir a desigualdade em busca da igualdade, mas, tomando
como princípio a desigualdade, tal empreitada se tornava tarefa sem fim, nunca
se chegaria a tal igualdade. Aqui, sublinham-se dois conceitos que Jacotot nos
lega: ao partir da desigualdade como origem, parte-se do modelo tradicional no
qual a distância entre o mestre e o aluno limita o aluno aos conhecimentos do
professor – método de transmissão de conhecimentos, embrutecedor; mas, se o
início é a ignorância como igualdade entre ambos, ali se reconhecem as
capacidades de crescimento conjugado, método emancipador. Porque as potências
intelectuais são iguais, as capacidades de conhecimento se aplicam a todas as
inteligências. Não é o professor que subordina o aluno e o transforma em seu
refém, mas o professor deve conduzir o aluno em um processo de
autorreconhecimento de suas capacidades como capacidades de conhecimento
universal: esse conhecimento que se adquire e se acumula no dia a dia.

  Rancière resgata tal abordagem em uma França dos anos 80 impregnada do
debate pedagógico que acusa a escola como reprodutivista, como reproduzindo as
desigualdades da sociedade na escola, modelo que, de acordo com Rancière, fica
preso à redução das desigualdades presentes em nome de uma igualdade futura.
Papel da escola de civilizar e instruir a sociedade visando à superação da
desigualdade e apontando para a possibilidade de igualdade futura nunca
alcançada. A igualdade não é o fim, ela tem que ser verificada de início, tem
que estar no começo, ali não deve haver distância entre professor e aluno,
entre culto e ignorante. A régua não é o saber, porque o saber é de cada um, o
saber de um não pode ser definido por outro, nem tampouco a ignorância: na
base, somos todos ignorantes com capacidades de saber que precisam ser
devidamente estimuladas.

  Saltemos da França do XIX para uma reflexão atual que Lilian do Valle nos
apresenta: que lições podemos tirar para a nossa educação? O paradoxo proposto
por Joseph Jacotot flerta com o cotidiano paradoxal do ato de ensinar e se
reinventar dos professores: beira a um ceticismo que poderia levar a uma
desordem a ser aplicada na prática. Soma-se a isso a dialética que se
estabelece entre educação e política: seria o pressuposto para igualdade
política a igualdade na educação? Aí, não estaria de novo a igualdade como
meta? E Jacotot não é questão de método que se divide entre a busca pelo aluno
modelo da abordagem tradicional e a sua que eleva a atividade do aluno capaz.
Mais do que isso, seu modelo é emancipador, de autonomia do sujeito capaz de
aprender por si só, de todo sujeito capaz de aprender por si só, sem mediação,
sem interlocução. Mesmo na realidade brasileira da década de 60, comenta
Lilian, que colocou na base a tentativa de redução das diferenças entre as
culturas visando a inclusão social, mesmo lá, quem é o professor que sabe o
que o aluno precisa? Pelo contrário, a pedagogia de Jacotot retira o professor
do seu conforto porque, para emancipar alguém, o professor deve ele mesmo ser
emancipado. Isso significa que o professor deve abrir mão de seu conhecimento
como conhecimento que garante sua posição e sua autoridade, ele deve se
considerar ignorante e estar sempre em busca do conhecimento novo. Por outro
lado, o professor não deve se fiar em um conhecimento seu maior que o dos
alunos, nem em seu conhecimento e a ignorância do aluno: “O mestre anuncia a
igualdade, mas só o aluno pode verificá-la, fazendo-a existir para si”. É
negando seu saber que o professor emancipa seu aluno. É negando seu saber que
o professor se emancipa.

\-------

RANCIÈRE, J. O mestre ignorante. Cinco lições sobre a emancipação intelectual.
